AccountsReceivableHistory
AcctsRecHistID	CustID	ResetDate	ARDate	ArchiveCode	PrevBal	CurrInvs	CurrPmts	CurrAdjs	BalDue	LateFee	AuthorizedPymt	PastDue	BalAge1	BalAge2	BalAge3	BalAge4	BalAge5	BalAge6	BalAge0
#1607984	19981	NULL	2017-03-10 08:01:58.643	Pmt  	0.00	0.00	25.61	0.00	-25.61	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	0.00
#1612218	19981	NULL	2017-03-13 01:24:25.263	Inv  	0.00	25.61	25.61	0.00	0.00	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	0.00
#1731323	19981	NULL	2017-04-09 01:25:28.790	Pmt  	0.00	0.00	29.57	0.00	-29.57	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	0.00
#1732938	19981	NULL	2017-04-10 01:58:27.710	Inv  	0.00	29.57	29.57	0.00	0.00	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	0.00
#1860977	19981	NULL	2017-05-10 09:35:17.203	Pmt  	0.00	0.00	12.24	0.00	-12.24	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	0.00
#1864290	19981	NULL	2017-05-11 01:12:21.297	Inv  	0.00	12.24	12.24	0.00	0.00	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	0.00
#1987198	19981	NULL	2017-06-09 10:26:50.647	Pmt  	0.00	0.00	4.49	0.00	-4.49	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	0.00
#1991266	19981	NULL	2017-06-12 01:49:41.987	Inv  	0.00	4.49	4.49	0.00	0.00	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	0.00
#2112800	19981	NULL	2017-07-11 10:23:33.773	Pmt  	0.00	0.00	3.65	0.00	-3.65	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	0.00
#2115159	19981	NULL	2017-07-12 00:25:33.750	Inv  	0.00	3.65	3.65	0.00	0.00	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	0.00
#2238074	19981	NULL	2017-08-09 05:05:20.767	Inv  	0.00	3.12	0.00	0.00	3.12	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	3.12
#2240479	19981	NULL	2017-08-09 08:47:27.043	Pmt  	0.00	0.00	3.12	0.00	-3.12	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	0.00
#2362275	19981	NULL	2017-09-08 08:17:28.890	Pmt  	0.00	0.00	3.65	0.00	-3.65	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	0.00
#2366165	19981	NULL	2017-09-11 01:32:27.877	Inv  	3.12	3.65	6.77	0.00	0.00	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	0.00
#2484422	19981	NULL	2017-10-09 01:36:11.340	Inv  	0.00	3.12	0.00	0.00	3.12	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	3.12
#2489671	19981	NULL	2017-10-09 09:02:30.580	Pmt  	3.12	0.00	3.12	0.00	0.00	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	0.00
#2617902	19981	NULL	2017-11-07 09:16:15.800	Pmt  	0.00	0.00	9.89	0.00	-9.89	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	0.00
#2620852	19981	NULL	2017-11-08 01:16:46.780	Inv  	3.12	9.89	13.01	0.00	0.00	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	0.00
#2749044	19981	NULL	2017-12-08 08:48:37.680	Pmt  	0.00	0.00	25.77	0.00	-25.77	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	0.00
#2752390	19981	NULL	2017-12-11 01:29:59.887	Inv  	0.00	25.77	25.77	0.00	0.00	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	0.00
