Invoice
InvoiceID	CustID	AcctsRecHistID	ParentInvoiceID	InvLogID	RateID	RevenuePeriod	Type	BasePeriod	CustCode	InvAmt	TotalDetailAmount	InvDate	PrintDate	PostDate	DueDate	ServiceFrom	ServiceTo	UserID	PaymentPlanFlag	FinalFlag	BillingTypeID	ReferenceInvoiceNo	TDSPTemplateID	BillCycle	EventCleared	PaidDate	migr_bill_batch_id	Migr_acct_no	migr_service_Id	SpecialInvoiceTypeId	DeliveryDate	DeliveryStatus	DeliveryComment
900869	19981	1359805	NULL	891569	10018	NULL	NULL	201701	00	70.67	70.67	2017-01-11 00:00:00.000	NULL	2017-01-12 01:33:13.243	2017-01-27 00:00:00.000	2016-12-07 00:00:00.000	2017-01-10 00:00:00.000	NULL	0	0	3	12383860001020170111	1	309101	NULL	NULL	NULL	NULL	NULL	0	2017-01-12 09:36:09.370	1	DND batch delivey
962126	19981	1479269	NULL	952826	10018	NULL	NULL	201702	00	38.70	38.70	2017-02-09 00:00:00.000	NULL	2017-02-10 01:16:08.893	2017-02-27 00:00:00.000	2017-01-10 00:00:00.000	2017-02-08 00:00:00.000	NULL	0	0	3	12383860001020170209	1	309101	NULL	NULL	NULL	NULL	NULL	0	2017-02-10 06:41:45.850	1	DND batch delivey
1032411	19981	1612218	NULL	1023111	10018	NULL	NULL	201703	00	25.61	25.61	2017-03-10 00:00:00.000	NULL	2017-03-13 01:24:24.003	2017-03-27 00:00:00.000	2017-02-08 00:00:00.000	2017-03-09 00:00:00.000	NULL	0	0	3	12383860001020170310	1	309101	NULL	NULL	NULL	NULL	NULL	0	2017-03-13 07:38:33.330	1	DND batch delivey
1095863	19981	1732938	NULL	1086563	10018	NULL	NULL	201704	00	29.57	29.57	2017-04-08 00:00:00.000	NULL	2017-04-10 01:58:26.983	2017-04-24 00:00:00.000	2017-03-09 00:00:00.000	2017-04-07 00:00:00.000	NULL	0	0	3	12383860001020170408	1	309101	NULL	NULL	NULL	NULL	NULL	0	2017-04-10 09:57:55.253	1	DND batch delivey
1167148	19981	1864290	NULL	1157848	10018	NULL	NULL	201705	00	12.24	12.24	2017-05-10 00:00:00.000	NULL	2017-05-11 01:12:20.513	2017-05-26 00:00:00.000	2017-04-07 00:00:00.000	2017-05-09 00:00:00.000	NULL	0	0	3	12383860001020170510	1	309101	NULL	NULL	NULL	NULL	NULL	0	2017-05-12 09:46:30.597	1	DND batch delivey
1242034	19981	1991266	NULL	1232734	10018	NULL	NULL	201706	00	4.49	4.49	2017-06-09 00:00:00.000	NULL	2017-06-12 01:49:41.073	2017-06-26 00:00:00.000	2017-05-09 00:00:00.000	2017-06-08 00:00:00.000	NULL	0	0	3	12383860001020170609	1	309101	NULL	NULL	NULL	NULL	NULL	0	2017-06-12 08:50:28.843	1	DND batch delivey
1308928	19981	2115159	NULL	1299628	10018	NULL	NULL	201707	00	3.65	3.65	2017-07-11 00:00:00.000	NULL	2017-07-12 00:25:32.583	2017-07-27 00:00:00.000	2017-06-08 00:00:00.000	2017-07-10 00:00:00.000	470	0	0	3	12383860001020170711	1	309101	NULL	NULL	NULL	NULL	NULL	0	2017-07-12 07:18:51.180	1	DND batch delivey
1385133	19981	2238074	NULL	1375833	10018	NULL	NULL	201708	00	3.12	3.12	2017-08-09 00:00:00.000	NULL	2017-08-09 05:05:20.223	2017-08-25 00:00:00.000	2017-07-10 00:00:00.000	2017-08-08 00:00:00.000	NULL	0	0	3	12383860001020170809	1	309101	NULL	NULL	NULL	NULL	NULL	0	2017-08-09 06:52:19.920	1	DND batch delivey
1464632	19981	2366165	NULL	1455332	10018	NULL	NULL	201709	00	3.65	3.65	2017-09-08 00:00:00.000	NULL	2017-09-11 01:32:27.403	2017-09-25 00:00:00.000	2017-08-08 00:00:00.000	2017-09-07 00:00:00.000	NULL	0	0	3	12383860001020170908	1	309101	NULL	NULL	NULL	NULL	NULL	0	2017-09-11 07:53:46.220	1	DND batch delivey
1529268	19981	2484422	NULL	1519968	10018	NULL	NULL	201710	00	3.12	3.12	2017-10-07 00:00:00.000	NULL	2017-10-09 01:36:10.920	2017-10-23 00:00:00.000	2017-09-07 00:00:00.000	2017-10-06 00:00:00.000	NULL	0	0	3	12383860001020171007	1	309101	NULL	NULL	NULL	NULL	NULL	0	2017-10-09 06:38:37.320	1	DND batch delivey
1604770	19981	2620852	NULL	1595470	10018	NULL	NULL	201711	00	9.89	9.89	2017-11-07 00:00:00.000	NULL	2017-11-08 01:16:46.300	2017-11-24 00:00:00.000	2017-10-06 00:00:00.000	2017-11-06 00:00:00.000	NULL	0	0	3	12383860001020171107	1	309101	NULL	NULL	NULL	NULL	NULL	0	2017-11-08 06:22:39.383	1	DND batch delivey
1680062	19981	2752390	NULL	1670762	10018	NULL	NULL	201712	00	25.77	25.77	2017-12-08 00:00:00.000	NULL	2017-12-11 01:29:59.390	2017-12-26 00:00:00.000	2017-11-06 00:00:00.000	2017-12-07 00:00:00.000	NULL	0	0	3	12383860001020171208	1	309101	NULL	NULL	NULL	NULL	NULL	0	2017-12-11 06:44:08.780	1	DND batch delivey
